cohort_rank_2026,name,year,net_worth_usd_billions,annual_forbes_rank,country_or_territory,source_of_wealth,industry,original_forbes_name,match_quality,annual_data_source_url,cohort_definition,data_note
1,Elon Musk,2026,839,1,United States,,Technology,Elon Musk,2026_article,https://www.forbes.com/sites/chasewithorn/2026/03/10/forbes-worlds-billionaires-list-2026-the-top-200/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
2,Larry Page,2012,18.7,24,United States,Google,Technology,Larry Page,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
2,Larry Page,2013,23,20,United States,Google,Technology,Larry Page,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
2,Larry Page,2014,32.3,17,United States,Google,Technology,Larry Page,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
2,Larry Page,2015,29.7,19,United States,Google,Technology,Larry Page,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
2,Larry Page,2016,35.2,12,United States,Google,Technology,Larry Page,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
2,Larry Page,2017,40.7,12,United States,Google,Technology,Larry Page,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
2,Larry Page,2018,48.8,12,United States,Google,Technology,Larry Page,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
2,Larry Page,2019,50.8,10,United States,Google,Technology,Larry Page,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
2,Larry Page,2020,50.9,13,United States,Google,Technology,Larry Page,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
2,Larry Page,2021,91.5,8,United States,Google,Technology,Larry Page,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
2,Larry Page,2022,111,6,United States,Google,Technology,Larry Page,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
2,Larry Page,2023,79.2,12,United States,Google,Technology,Larry Page,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
2,Larry Page,2024,114,10,United States,Google,Technology,Larry Page,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
2,Larry Page,2025,144,7,United States,Google,Technology,Larry Page,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
2,Larry Page,2026,257,2,United States,,Technology,Larry Page,2026_article,https://www.forbes.com/sites/chasewithorn/2026/03/10/forbes-worlds-billionaires-list-2026-the-top-200/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
3,Sergey Brin,2012,18.7,25,United States,Google,Technology,Sergey Brin,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
3,Sergey Brin,2013,22.8,21,United States,Google,Technology,Sergey Brin,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
3,Sergey Brin,2014,31.8,19,United States,Google,Technology,Sergey Brin,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
3,Sergey Brin,2015,29.2,20,United States,Google,Technology,Sergey Brin,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
3,Sergey Brin,2016,34.4,13,United States,Google,Technology,Sergey Brin,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
3,Sergey Brin,2017,39.8,13,United States,Google,Technology,Sergey Brin,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
3,Sergey Brin,2018,47.5,13,United States,Google,Technology,Sergey Brin,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
3,Sergey Brin,2019,49.8,14,United States,Google,Technology,Sergey Brin,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
3,Sergey Brin,2020,49.1,14,United States,Google,Technology,Sergey Brin,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
3,Sergey Brin,2021,89,9,United States,Google,Technology,Sergey Brin,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
3,Sergey Brin,2022,107,7,United States,Google,Technology,Sergey Brin,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
3,Sergey Brin,2023,76,14,United States,Google,Technology,Sergey Brin,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
3,Sergey Brin,2024,110,11,United States,Google,Technology,Sergey Brin,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
3,Sergey Brin,2025,138,8,United States,Google,Technology,Sergey Brin,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
3,Sergey Brin,2026,237,3,United States,,Technology,Sergey Brin,2026_article,https://www.forbes.com/sites/chasewithorn/2026/03/10/forbes-worlds-billionaires-list-2026-the-top-200/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
4,Jeff Bezos,2012,18.4,26,United States,Amazon.com,Technology,Jeff Bezos,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
4,Jeff Bezos,2013,25.2,19,United States,Amazon.com,Technology,Jeff Bezos,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
4,Jeff Bezos,2014,32,18,United States,Amazon.com,Technology,Jeff Bezos,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
4,Jeff Bezos,2015,34.8,15,United States,Amazon.com,Technology,Jeff Bezos,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
4,Jeff Bezos,2016,45.2,5,United States,Amazon.com,Technology,Jeff Bezos,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
4,Jeff Bezos,2017,72.8,3,United States,Amazon.com,Technology,Jeff Bezos,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
4,Jeff Bezos,2018,112,1,United States,Amazon,Technology,Jeff Bezos,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
4,Jeff Bezos,2019,131,1,United States,Amazon,Technology,Jeff Bezos,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
4,Jeff Bezos,2020,113,1,United States,Amazon,Technology,Jeff Bezos,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
4,Jeff Bezos,2021,177,1,United States,Amazon,Technology,Jeff Bezos,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
4,Jeff Bezos,2022,171,2,United States,Amazon,Technology,Jeff Bezos,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
4,Jeff Bezos,2023,114,3,United States,Amazon,Technology,Jeff Bezos,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
4,Jeff Bezos,2024,194,3,United States,Amazon,Technology,Jeff Bezos,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
4,Jeff Bezos,2025,215,3,United States,Amazon,Technology,Jeff Bezos,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
4,Jeff Bezos,2026,224,4,United States,,Technology,Jeff Bezos,2026_article,https://www.forbes.com/sites/chasewithorn/2026/03/10/forbes-worlds-billionaires-list-2026-the-top-200/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
5,Mark Zuckerberg,2012,17.5,35,United States,Facebook,Technology,Mark Zuckerberg,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
5,Mark Zuckerberg,2013,13.3,66,United States,Facebook,Technology,Mark Zuckerberg,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
5,Mark Zuckerberg,2014,28.5,21,United States,Facebook,Technology,Mark Zuckerberg,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
5,Mark Zuckerberg,2015,33.4,16,United States,Facebook,Technology,Mark Zuckerberg,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
5,Mark Zuckerberg,2016,44.6,6,United States,Facebook,Technology,Mark Zuckerberg,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
5,Mark Zuckerberg,2017,56,5,United States,Facebook,Technology,Mark Zuckerberg,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
5,Mark Zuckerberg,2018,71,5,United States,Facebook,Technology,Mark Zuckerberg,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
5,Mark Zuckerberg,2019,62.3,8,United States,Facebook,Technology,Mark Zuckerberg,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
5,Mark Zuckerberg,2020,54.7,7,United States,Facebook,Technology,Mark Zuckerberg,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
5,Mark Zuckerberg,2021,97,5,United States,Facebook,Technology,Mark Zuckerberg,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
5,Mark Zuckerberg,2022,67.3,15,United States,Facebook,Technology,Mark Zuckerberg,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
5,Mark Zuckerberg,2023,64.4,16,United States,Facebook,Technology,Mark Zuckerberg,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
5,Mark Zuckerberg,2024,177,4,United States,Facebook,Technology,Mark Zuckerberg,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
5,Mark Zuckerberg,2025,216,2,United States,Facebook,Technology,Mark Zuckerberg,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
5,Mark Zuckerberg,2026,222,5,United States,,Technology,Mark Zuckerberg,2026_article,https://www.forbes.com/sites/chasewithorn/2026/03/10/forbes-worlds-billionaires-list-2026-the-top-200/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
6,Larry Ellison,2012,36,6,United States,Oracle,Technology,Larry Ellison,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
6,Larry Ellison,2013,43,5,United States,Oracle,Technology,Larry Ellison,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
6,Larry Ellison,2014,48,5,United States,Oracle,Technology,Larry Ellison,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
6,Larry Ellison,2015,54.3,5,United States,Oracle,Technology,Larry Ellison,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
6,Larry Ellison,2016,43.6,7,United States,software,Technology,Larry Ellison,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
6,Larry Ellison,2017,52.2,7,United States,software,Technology,Larry Ellison,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
6,Larry Ellison,2018,58.5,10,United States,software,Technology,Larry Ellison,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
6,Larry Ellison,2019,62.5,7,United States,software,Technology,Larry Ellison,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
6,Larry Ellison,2020,59,5,United States,software,Technology,Larry Ellison,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
6,Larry Ellison,2021,93,7,United States,software,Technology,Larry Ellison,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
6,Larry Ellison,2022,106,8,United States,software,Technology,Larry Ellison,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
6,Larry Ellison,2023,107,4,United States,Oracle,Technology,Larry Ellison,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
6,Larry Ellison,2024,141,5,United States,Oracle,Technology,Larry Ellison,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
6,Larry Ellison,2025,192,4,United States,Oracle,Technology,Larry Ellison,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
6,Larry Ellison,2026,190,6,United States,,Technology,Larry Ellison,2026_article,https://www.forbes.com/sites/chasewithorn/2026/03/10/forbes-worlds-billionaires-list-2026-the-top-200/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
7,Bernard Arnault & family,2012,41,4,France,LVMH,Fashion and Retail,Bernard Arnault,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
7,Bernard Arnault & family,2013,29,10,France,LVMH,Fashion and Retail,Bernard Arnault,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
7,Bernard Arnault & family,2014,33.5,15,France,LVMH,Fashion & Retail,Bernard Arnault,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
7,Bernard Arnault & family,2015,37.2,13,France,LVMH,Fashion & Retail,Bernard Arnault,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
7,Bernard Arnault & family,2016,34,14,France,LVMH,Fashion & Retail,Bernard Arnault,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
7,Bernard Arnault & family,2017,41.5,11,France,LVMH,Fashion & Retail,Bernard Arnault,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
7,Bernard Arnault & family,2018,72,4,France,LVMH,Fashion & Retail,Bernard Arnault,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
7,Bernard Arnault & family,2019,76,4,France,LVMH,Fashion & Retail,Bernard Arnault,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
7,Bernard Arnault & family,2020,76,3,France,LVMH,Fashion & Retail,Bernard Arnault,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
7,Bernard Arnault & family,2021,150,3,France,LVMH,Fashion & Retail,Bernard Arnault,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
7,Bernard Arnault & family,2022,158,3,France,LVMH,Fashion & Retail,Bernard Arnault,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
7,Bernard Arnault & family,2023,211,1,France,LVMH,Fashion & Retail,Bernard Arnault,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
7,Bernard Arnault & family,2024,233,1,France,LVMH,Fashion & Retail,Bernard Arnault,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
7,Bernard Arnault & family,2025,178,5,France,LVMH,Fashion & Retail,Bernard Arnault,exact_normalized,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
7,Bernard Arnault & family,2026,171,7,France,,Fashion & Retail,Bernard Arnault & family,2026_article,https://www.forbes.com/sites/chasewithorn/2026/03/10/forbes-worlds-billionaires-list-2026-the-top-200/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
8,Jensen Huang,2012,,,,,,,,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
8,Jensen Huang,2013,,,,,,,,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
8,Jensen Huang,2014,,,,,,,,https://www.forbes.com/billionaires/,"Top 200 on Forbes World's Billionaires annual list 2026; values as of March 1, 2026",Blank means no verified annual Forbes record was matched; no estimate was inserted.
